sample,unit
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1906.83430045132,ns
1940.57059961315,ns
1940.57059961315,ns
1940.57059961315,ns
1974.30689877498,ns
1974.30689877498,ns
1974.30689877498,ns
1974.30689877498,ns
2008.04319793681,ns
2008.04319793681,ns
2041.77949709864,ns
2041.77949709864,ns
2075.51579626048,ns
2075.51579626048,ns
2075.51579626048,ns
2075.51579626048,ns
2075.51579626048,ns
2075.51579626048,ns
2075.51579626048,ns
2075.51579626048,ns
2109.25209542231,ns
2109.25209542231,ns
2109.25209542231,ns
2142.98839458414,ns
2142.98839458414,ns
2142.98839458414,ns
2142.98839458414,ns
2176.72469374597,ns
2176.72469374597,ns
2210.4609929078,ns
2210.4609929078,ns
2210.4609929078,ns
2210.4609929078,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2244.19729206963,ns
2277.93359123146,ns
2277.93359123146,ns
2277.93359123146,ns
2277.93359123146,ns
2311.66989039329,
2311.66989039329,
2311.66989039329,
2345.40618955512,
2412.87878787878,
2412.87878787878,
2412.87878787878,
2412.87878787878,
