sample,unit
7.5,us
10,us
12.5,us
15,us
17.5,us
15,us
12.5,us
10,us
12.5,us
15,us
12.5,us
10,us
7.5,us
10,us
12.5,us
15,us
12.5,us
10,us
7.5,us
10,us
12.5,us
15,us
17.5,us
15,us
12.5,us
10,us
12.5,us
15,us
12.5,us
10,us
12.5,us
15,us
12.5,us
10,us
7.5,us
