sample,unit
6550120,ns
3800120,ns
1950120,ns
3700120,ns
2750120,ns
1950120,ns
2250120,ns
3300120,ns
1050120,ns
1950120,ns
1700120,ns
5450120,ns
3300120,ns
1100120,ns
1500120,ns
2800120,ns
1600120,ns
3000120,ns
4100120,ns
3650120,ns
1600120,ns
4100120,ns
